,ldr_grau,distance,ldr_weiss,ldr_blau,ldr_gelb,ldr_lila,ldr_gruen,rotation_time,time,date
42564,511.0,33.0,511.0,511.0,442.0,511.0,511.0,0.0,09:02:58,2021-06-30
40351,511.0,33.0,511.0,511.0,455.0,511.0,511.0,0.0,09:02:59,2021-06-30
40352,511.0,33.0,511.0,511.0,462.0,511.0,511.0,0.0,09:03:00,2021-06-30
40353,511.0,33.0,511.0,511.0,464.0,511.0,511.0,0.0,09:03:01,2021-06-30
40354,511.0,33.0,511.0,511.0,471.0,511.0,511.0,0.0,09:03:02,2021-06-30
40355,511.0,20.0,511.0,511.0,474.0,511.0,511.0,0.0,09:03:03,2021-06-30
40356,511.0,32.0,511.0,511.0,466.0,511.0,511.0,0.0,09:03:04,2021-06-30
40357,511.0,33.0,511.0,511.0,462.0,511.0,511.0,0.0,09:03:05,2021-06-30
40358,511.0,29.0,511.0,511.0,470.0,511.0,511.0,0.0,09:03:06,2021-06-30
40359,511.0,28.0,511.0,511.0,457.0,511.0,511.0,0.0,09:03:07,2021-06-30
40360,511.0,28.0,511.0,511.0,478.0,511.0,511.0,0.0,09:03:08,2021-06-30
40361,511.0,28.0,511.0,511.0,471.0,511.0,511.0,0.0,09:03:09,2021-06-30
40362,511.0,28.0,511.0,511.0,467.0,511.0,511.0,0.0,09:03:10,2021-06-30
40363,511.0,28.0,511.0,511.0,452.0,511.0,511.0,0.0,09:03:11,2021-06-30
40364,511.0,28.0,511.0,511.0,467.0,511.0,511.0,0.0,09:03:12,2021-06-30
40365,511.0,28.0,511.0,511.0,491.0,511.0,511.0,0.0,09:03:13,2021-06-30
40366,511.0,29.0,511.0,511.0,461.0,511.0,511.0,0.0,09:03:14,2021-06-30
40367,511.0,28.0,511.0,511.0,463.0,511.0,511.0,0.0,09:03:15,2021-06-30
40368,511.0,28.0,511.0,511.0,466.0,511.0,511.0,0.0,09:03:16,2021-06-30
40369,511.0,28.0,511.0,511.0,476.0,511.0,511.0,0.0,09:03:17,2021-06-30
40370,511.0,28.0,511.0,511.0,475.0,511.0,511.0,0.0,09:03:18,2021-06-30
40371,511.0,28.0,511.0,511.0,476.0,511.0,511.0,678351799.0,09:03:19,2021-06-30
40372,511.0,33.0,511.0,511.0,462.0,511.0,511.0,678351799.0,09:03:20,2021-06-30
40373,511.0,33.0,511.0,511.0,461.0,511.0,511.0,678351799.0,09:03:21,2021-06-30
40374,511.0,33.0,511.0,511.0,479.0,511.0,511.0,678351799.0,09:03:22,2021-06-30
40375,511.0,33.0,511.0,511.0,480.0,511.0,511.0,678351799.0,09:03:23,2021-06-30
40376,511.0,33.0,511.0,511.0,486.0,511.0,511.0,678351799.0,09:03:24,2021-06-30
40377,511.0,33.0,511.0,511.0,482.0,511.0,511.0,678351799.0,09:03:25,2021-06-30
40378,511.0,33.0,511.0,511.0,472.0,511.0,511.0,678351799.0,09:03:26,2021-06-30
40379,511.0,33.0,511.0,511.0,477.0,511.0,511.0,678351799.0,09:03:27,2021-06-30
40380,511.0,33.0,511.0,511.0,446.0,511.0,511.0,678351799.0,09:03:28,2021-06-30
47604,511.0,33.0,511.0,511.0,450.0,511.0,511.0,678351799.0,09:03:29,2021-06-30
47605,511.0,33.0,511.0,511.0,463.0,511.0,511.0,678351799.0,09:03:30,2021-06-30
47606,511.0,33.0,511.0,511.0,486.0,511.0,511.0,678351799.0,09:03:31,2021-06-30
47607,511.0,33.0,511.0,511.0,468.0,511.0,511.0,678351799.0,09:03:32,2021-06-30
47608,511.0,33.0,511.0,511.0,456.0,511.0,511.0,678351799.0,09:03:33,2021-06-30
47609,511.0,33.0,511.0,511.0,438.0,511.0,511.0,678351799.0,09:03:34,2021-06-30
47610,511.0,33.0,511.0,511.0,464.0,511.0,511.0,678351799.0,09:03:35,2021-06-30
47611,511.0,33.0,511.0,511.0,455.0,511.0,511.0,678351799.0,09:03:36,2021-06-30
47612,511.0,33.0,511.0,511.0,464.0,511.0,511.0,678351799.0,09:03:37,2021-06-30
47613,511.0,33.0,511.0,511.0,465.0,511.0,511.0,678351799.0,09:03:38,2021-06-30
